customer_id,business_name,category,subcategory,scale,location,years_in_business,employees,estimated_daily_customers,avg_order_size,order_frequency,last_order_date,total_orders_ytd,storage_capacity,sustainability_focus,quality_preference,recommended_products,primary_product_categories
CUST_0054,Business_54,Bakery,Cafe-Bakery,Medium,Suburban,20,28,279,4027.17,Weekly,2024-12-24,46,Large,True,Premium,"Grains, Dairy, Fruits","Grains, Dairy, Fruits"
CUST_0055,Business_55,Institution,University Dining,Medium,Urban,4,37,267,4028.71,Weekly,2024-12-24,33,Medium,False,Economy,"Dairy, Vegetables, Fruits","Vegetables, Fruits, Dairy, Grains"
CUST_0056,Business_56,Restaurant,Pizza Restaurant,Large,Rural,8,146,992,27975.95,Bi-weekly,2024-12-24,17,Limited,False,Economy,"Meat, Vegetables, Grains","Vegetables, Meat, Dairy, Grains"
CUST_0057,Business_57,Hotel,Business Hotel,Medium,Suburban,4,27,185,3586.93,Monthly,2024-12-24,22,Limited,True,Premium,"Beverages, Meat, Seafood","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0058,Business_58,Catering,Event Catering,Small,Rural,3,7,57,969.38,Weekly,2024-12-24,47,Large,True,Standard,"Meat, Seafood, Beverages","Vegetables, Meat, Seafood, Beverages"
CUST_0059,Business_59,Restaurant,Fine Dining,Small,Suburban,2,14,20,308.1,Monthly,2024-12-24,10,Large,False,Premium,"Fruits, Seafood, Vegetables","Vegetables, Fruits, Meat, Seafood, Dairy"
CUST_0060,Business_60,Catering,Food Truck,Small,Suburban,19,5,79,1069.64,Bi-weekly,2024-12-24,33,Medium,True,Premium,"Vegetables, Seafood, Beverages","Vegetables, Meat, Seafood, Beverages"
CUST_0061,Business_61,Institution,School Cafeteria,Large,Rural,12,53,815,23954.41,Bi-weekly,2024-12-24,46,Large,True,Premium,"Fruits, Grains, Vegetables","Vegetables, Fruits, Dairy, Grains"
CUST_0062,Business_62,Restaurant,Fast Casual,Small,Rural,28,8,25,294.25,Bi-weekly,2024-12-24,26,Limited,False,Premium,"Dairy, Frozen Foods, Meat","Meat, Frozen Foods, Beverages, Dairy"
CUST_0063,Business_63,Institution,School Cafeteria,Small,Rural,6,18,70,1160.38,Weekly,2024-12-24,30,Large,False,Economy,"Dairy, Vegetables, Fruits","Vegetables, Fruits, Dairy, Grains"
CUST_0064,Business_64,Institution,Corporate Cafeteria,Medium,Suburban,5,46,131,2853.59,Bi-weekly,2024-12-24,19,Medium,True,Economy,"Grains, Dairy, Fruits","Vegetables, Fruits, Dairy, Grains"
CUST_0065,Business_65,Catering,Meal Delivery Service,Large,Suburban,17,111,401,9929.7,Bi-weekly,2024-12-24,31,Large,False,Economy,"Beverages, Seafood, Vegetables","Vegetables, Meat, Seafood, Beverages"
CUST_0066,Business_66,Catering,Corporate Catering,Large,Suburban,12,131,964,39698.68,Bi-weekly,2024-12-24,11,Limited,False,Premium,"Meat, Seafood, Vegetables","Vegetables, Meat, Seafood, Beverages"
CUST_0067,Business_67,Catering,Corporate Catering,Large,Suburban,22,113,623,24066.98,Weekly,2024-12-24,35,Large,True,Economy,"Vegetables, Beverages, Seafood","Vegetables, Meat, Seafood, Beverages"
CUST_0068,Business_68,Hotel,Boutique Hotel,Medium,Rural,9,22,261,8736.32,Bi-weekly,2024-12-24,41,Large,False,Economy,"Vegetables, Fruits, Seafood","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0069,Business_69,Catering,Meal Delivery Service,Small,Suburban,28,8,44,965.47,Monthly,2024-12-24,24,Limited,False,Premium,"Vegetables, Meat, Beverages","Vegetables, Meat, Seafood, Beverages"
CUST_0070,Business_70,Hotel,Resort,Medium,Suburban,25,25,205,5531.01,Bi-weekly,2024-12-24,33,Limited,False,Standard,"Fruits, Beverages, Meat","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0071,Business_71,Catering,Meal Delivery Service,Large,Urban,8,144,319,13923.54,Weekly,2024-12-24,17,Limited,True,Premium,"Beverages, Vegetables, Meat","Vegetables, Meat, Seafood, Beverages"
CUST_0072,Business_72,Bakery,Retail Bakery,Large,Suburban,21,65,447,16281.74,Bi-weekly,2024-12-24,48,Large,False,Premium,"Dairy, Fruits, Grains","Grains, Dairy, Fruits"
CUST_0073,Business_73,Institution,University Dining,Medium,Rural,5,22,173,3727.22,Monthly,2024-12-24,27,Limited,False,Economy,"Grains, Vegetables, Fruits","Vegetables, Fruits, Dairy, Grains"
CUST_0074,Business_74,Hotel,Luxury Hotel,Small,Suburban,13,13,94,1141.6,Weekly,2024-12-24,46,Limited,True,Premium,"Fruits, Beverages, Meat","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0075,Business_75,Bakery,Retail Bakery,Large,Urban,6,132,585,20888.16,Weekly,2024-12-24,16,Medium,False,Economy,"Dairy, Grains, Fruits","Grains, Dairy, Fruits"
CUST_0076,Business_76,Hotel,Extended Stay Hotel,Large,Rural,5,139,507,15441.9,Monthly,2024-12-24,40,Medium,False,Standard,"Dairy, Vegetables, Fruits","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0077,Business_77,Hotel,Resort,Small,Urban,23,13,60,1122.41,Monthly,2024-12-24,13,Large,False,Standard,"Dairy, Beverages, Seafood","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0078,Business_78,Bakery,Wholesale Bakery,Large,Suburban,7,73,361,13143.55,Bi-weekly,2024-12-24,41,Medium,False,Premium,"Fruits, Grains, Dairy","Grains, Dairy, Fruits"
CUST_0079,Business_79,Hotel,Business Hotel,Medium,Rural,23,48,101,2700.61,Monthly,2024-12-24,17,Limited,True,Standard,"Fruits, Vegetables, Beverages","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0080,Business_80,Catering,Food Truck,Medium,Rural,23,46,136,2808.68,Monthly,2024-12-24,13,Limited,True,Economy,"Meat, Vegetables, Beverages","Vegetables, Meat, Seafood, Beverages"
CUST_0081,Business_81,Bakery,Cafe-Bakery,Small,Urban,13,7,28,342.11,Bi-weekly,2024-12-24,30,Large,False,Standard,"Fruits, Grains, Dairy","Grains, Dairy, Fruits"
CUST_0082,Business_82,Hotel,Resort,Medium,Suburban,11,49,187,5089.11,Bi-weekly,2024-12-24,18,Large,True,Standard,"Dairy, Meat, Beverages","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0083,Business_83,Catering,Food Truck,Medium,Rural,14,25,269,5464.77,Weekly,2024-12-24,30,Large,True,Economy,"Seafood, Beverages, Vegetables","Vegetables, Meat, Seafood, Beverages"
CUST_0084,Business_84,Restaurant,Casual Dining,Large,Urban,7,55,404,11455.53,Bi-weekly,2024-12-24,44,Large,False,Premium,"Grains, Vegetables, Meat","Vegetables, Meat, Dairy, Grains"
CUST_0085,Business_85,Restaurant,Ethnic Restaurant,Large,Rural,2,95,906,22153.35,Monthly,2024-12-24,44,Limited,True,Standard,"Grains, Meat, Dairy","Vegetables, Meat, Dairy, Grains"
CUST_0086,Business_86,Hotel,Extended Stay Hotel,Small,Suburban,10,15,93,1438.88,Weekly,2024-12-24,12,Limited,False,Premium,"Vegetables, Dairy, Beverages","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0087,Business_87,Bakery,Retail Bakery,Medium,Urban,7,32,262,5147.28,Monthly,2024-12-24,11,Medium,False,Economy,"Fruits, Dairy, Grains","Grains, Dairy, Fruits"
CUST_0088,Business_88,Institution,Hospital,Medium,Rural,4,29,175,3461.33,Weekly,2024-12-24,26,Limited,True,Economy,"Vegetables, Fruits, Grains","Vegetables, Fruits, Dairy, Grains"
CUST_0089,Business_89,Bakery,Pastry Shop,Medium,Rural,5,48,240,5140.15,Weekly,2024-12-24,41,Large,True,Premium,"Fruits, Grains, Dairy","Grains, Dairy, Fruits"
CUST_0090,Business_90,Hotel,Boutique Hotel,Large,Suburban,12,144,610,17173.54,Weekly,2024-12-24,28,Medium,True,Standard,"Meat, Dairy, Beverages","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0091,Business_91,Institution,Hospital,Medium,Suburban,26,42,115,1661.5,Bi-weekly,2024-12-24,15,Medium,False,Premium,"Dairy, Vegetables, Grains","Vegetables, Fruits, Dairy, Grains"
CUST_0092,Business_92,Hotel,Business Hotel,Large,Urban,11,103,628,21092.22,Monthly,2024-12-24,47,Large,False,Economy,"Dairy, Meat, Beverages","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0093,Business_93,Catering,Corporate Catering,Small,Rural,19,18,45,798.97,Monthly,2024-12-24,29,Large,True,Standard,"Seafood, Beverages, Vegetables","Vegetables, Meat, Seafood, Beverages"
CUST_0094,Business_94,Hotel,Business Hotel,Large,Rural,3,100,415,9390.79,Monthly,2024-12-24,36,Large,False,Economy,"Fruits, Beverages, Vegetables","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0095,Business_95,Bakery,Pastry Shop,Small,Suburban,18,11,27,285.02,Monthly,2024-12-24,32,Large,False,Economy,"Dairy, Grains, Fruits","Grains, Dairy, Fruits"
CUST_0096,Business_96,Restaurant,Fast Casual,Large,Urban,1,141,356,13663.53,Monthly,2024-12-24,35,Limited,True,Standard,"Meat, Frozen Foods, Dairy","Meat, Frozen Foods, Beverages, Dairy"
CUST_0097,Business_97,Hotel,Business Hotel,Large,Rural,29,108,755,26546.0,Bi-weekly,2024-12-24,43,Large,False,Economy,"Dairy, Fruits, Beverages","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0098,Business_98,Hotel,Boutique Hotel,Large,Urban,10,136,333,11680.28,Bi-weekly,2024-12-24,23,Large,False,Premium,"Meat, Beverages, Fruits","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0099,Business_99,Bakery,Retail Bakery,Large,Rural,24,104,954,32701.51,Bi-weekly,2024-12-24,24,Limited,False,Standard,"Grains, Fruits, Dairy","Grains, Dairy, Fruits"
CUST_0100,Business_100,Restaurant,Ethnic Restaurant,Medium,Suburban,5,39,278,5847.29,Bi-weekly,2024-12-24,18,Limited,False,Premium,"Vegetables, Meat, Dairy","Vegetables, Meat, Dairy, Grains"
